imdb_id,title_x,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date,director_1_name,director_2_name,director_1_gender,director_2_gender,box_office_cleaned_inr_crore
tt3794302,Pizza (2014 film),https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Pizza_%282014_film%29_first_look_poster.png/220px-Pizza_%282014_film%29_first_look_poster.png,https://en.wikipedia.org/wiki/Pizza_(2014_film),Pizza,Pizza,0,2014,107,Horror,6.2,866.0,A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?,A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?,,Akshay Oberoi|Parvathy Omanakuttan|Arunoday Singh|Dipannita Sharma|Rajesh Sharma|Omkar Das Manikpuri|Hussain Dalal|D. Santosh|Sonali Sachdev|Diya Chalwad|Rituparna Chowdhury|Gulshan Pandey|Umesh Jagtap|Jai Shankar Tripathi|,,18 July 2014 (India),Akshay Akkineni,,Male,,4.04
tt1918965,Murder 2,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Murder_2_Hindi_Movie_Poster.jpg/220px-Murder_2_Hindi_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Murder_2,Murder 2,Murder 2,0,2011,127,Action|Drama|Horror,6.2,5899.0,Orphaned at a young age  former officer with Goa Police  Arjun Vishnu Bhaagwat  now lives alone  though he has a sweetheart in gorgeous model  Priya. Amidst reports of police extending their search for missing prostitutes  specifically the Caucasian daughter of a high-profile Russian Diplomat  Arjun is hired by a gangster  Sameer  and for a fee  must not only locate missing call-girls but also their abductor. Unable to get any clues  he than enlists the assistance of Sameer to recruit a bait  Reshma  who comes from an impoverished family  for the killer. Shortly thereafter Reshma goes missing  and Arjun loses contact with her. Guilt-ridden  he decides to use all possible resources to try and locate her before she herself becomes included in the official 'missing persons' list.,An ex-cop is hired by a pimp to find missing call girls and the man responsible behind their abduction.,,Emraan Hashmi|Jacqueline Fernandez|Prashant Narayanan|Sulagna Panigrahi|Sudhanshu Pandey|Sandeep Sikand|Amardeep Jha|Bikramjeet Kanwarpal|Shekhar Shukla|Raj Gopal Iyer|Surendra Rajan|Tanay Hemant Ambegowankar|Rasika Dugal|Shashi Kiran|,1 nomination,8 July 2011 (India),Mohit Suri,,Male,,67.84
tt4467202,Hero (2015 Hindi film),https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Hero-2015-Poster.jpg/220px-Hero-2015-Poster.jpg,https://en.wikipedia.org/wiki/Hero_(2015_Hindi_film),Hero,Hero,0,2015,145,Action|Drama|Musical,3.6,2041.0,Sooraj (Sooraj Pancholi) is a gangster of Mumbai who meets Radha (Athiya Shetty). Radha is the daughter of the Chief of Police. One day  Sooraj runs with Radha  telling her that he got instructions from the police to take her away from city for some time. But later Radha gets to know that she is kidnapped by Sooraj. After a series of events  Sooraj leaves Radha. But by that time  they are already in love. Thereafter  comes the part where they have to face a lot of problems and overcome all hurdles to prove their love for each other.,A boy and a girl find themselves stuck in a whirlpool of such intense love that they would do anything  go to any extent and face all odds for the one they love.,,Suraj Pancholi|Athiya Shetty|Tigmanshu Dhulia|Aditya Pancholi|,2 wins,11 September 2015 (USA),Nikkhil Advani,,Unknown,,34.82
tt7255568,Student of the Year 2,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Student_of_the_year_2_Poster.jpg/220px-Student_of_the_year_2_Poster.jpg,https://en.wikipedia.org/wiki/Student_of_the_Year_2,Student of the Year 2,Student of the Year 2,0,2019,146,Drama|Romance|Sport,2.5,12671.0,A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy.,A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy.,,Tiger Shroff|Ananya Panday|Tara Sutaria|Aditya Seal|Manoj Pahwa|Ayesha Raza|Rajesh Kumar|Manasi Joshi Roy|Samir Soni|Gul Panag|Manjot Singh|Sahil Anand|Harsh Beniwal|Daljeet Singh Gujral|,,10 May 2019 (USA),Punit Malhotra,,Male,,98.16
tt1947973,Bin Bulaye Baraati,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Bin_Bulaye_Baraati_poster_1.jpg/220px-Bin_Bulaye_Baraati_poster_1.jpg,https://en.wikipedia.org/wiki/Bin_Bulaye_Baraati,Bin Bulaye Baraati,Bin Bulaye Baraati,0,2011,133,Action|Comedy|Crime,3.9,225.0,Hazari and Murari rob the Police Commissioner's residence; Chetta Singh steals the car of the latter's wife  Kusum; while AD elopes with the niece  Shreya  of Sub-Inspector Pralay Pratap Singh. All of them dramatically end up in a stolen vehicle with a jewelery-laden suitcase worth Rs.50 Crores that belongs to Durjan Singh/Black Cobra. Now on the run from gangsters and the police  they don fake police costumes  take part in a song and dance number  and subsequently end up in Madhavgarh - just in time to stop Loha Singh from molesting a woman. Mistaking them for real police officers  the residents welcome them and even prepare a feast for them. They decide to make themselves at home - not realizing that soon they will not only be pitted against the police - but also Durjan - who had killed two men just to steal their video camera; looted two villages to purchase an antique car; and set fire to this town's Police Station  killing nearly all policemen - and is all set now to confront and...,Petty robbers on the run from gangsters and police end up in a town where they are mistaken for police officers.,,Naushaad Abbas|Rati Agnihotri|Shweta Bhardwaj|Gulshan Grover|Manoj Joshi|Shakti Kapoor|Sweta Keswani|Razak Khan|Priyanka Kothari|Dinesh Lamba|Johnny Lever|Sanjay Mishra|Hemant Pandey|Om Puri|,,17 June 2011 (India),Chandrakant Singh,,Male,,
tt3469244,Phantom (2015 film),https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Phantom_Hindi_Poster.jpg/220px-Phantom_Hindi_Poster.jpg,https://en.wikipedia.org/wiki/Phantom_(2015_film),Phantom,Phantom,0,2015,136,Action|Drama|Thriller,5.8,7913.0,Phantom is a political action thriller that unfolds across various countries around the world. The plot revolves around protagonist Daniyal  whose journey to seek justice takes him from India to Europe  America and the volatile Middle East. However  he finds out that in a mission like this  there is always a price to pay  in this case  a very personal price.,A disgraced Indian soldier carries out a series of assassinations in the hope of restoring his honour.,A story you wish were true,Saif Ali Khan|Katrina Kaif|Sabyasachi Chakrabarty|Rajesh Tailang|,1 nomination,28 August 2015 (India),Kabir Khan,,Male,,84.0
tt6862542,Hume Tumse Pyaar Kitna,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Hume_Tumse_Pyaar_Kitna.jpg/220px-Hume_Tumse_Pyaar_Kitna.jpg,https://en.wikipedia.org/wiki/Hume_Tumse_Pyaar_Kitna,Hume Tumse Pyaar Kitna,Hume Tumse Pyaar Kitna,0,2019,91,Action|Drama|Romance,7.4,85.0,It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).,It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).,,Karanvir Bohra|Priya Banerjee|,,5 July 2019 (India),Lalit Mohan,,Male,,
tt6272828,Mubarakan,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Mubarakan_Poster.jpg/220px-Mubarakan_Poster.jpg,https://en.wikipedia.org/wiki/Mubarakan,Mubarakan,Mubarakan,0,2017,156,Comedy|Romance,5.6,3109.0,Karan and Charan are identical twin brothers but their personalities are polar opposites. Karan has grown up in London while Charan was raised in Punjab. Karan is street-smart  calculating and flamboyant while Charan is simple  idealistic and honest in his approach. Karan is in love with Sweety while Charan is in a relationship with Nafisa. Karan's family fixes Karan's wedding with Binkle  daughter of one of the wealthiest families in London. He convinces his family to fix the match with Charan instead. The respective families are happy with this development except Charan because he wants to marry Nafisa.,Join Karan and Charan in a very crazy yet chaotic marriage of the year.,,Anil Kapoor|Arjun Kapoor|Ileana D'Cruz|Athiya Shetty|Neha Sharma|Viineet Kumar|Pavan Malhotra|Ratna Pathak Shah|Karan Kundrra|Anil Charanjeett|Rahul Dev|Monisha Hassen|Gurpal Singh|Mohit Chhabra|,1 win & 1 nomination,28 July 2017 (USA),Anees Bazmee,,Male,,93.24
tt5615116,Dear Dad (film),https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Dear_Dad_poster.jpg/220px-Dear_Dad_poster.jpg,https://en.wikipedia.org/wiki/Dear_Dad_(film),Dear Dad,Dear Dad,0,2016,95,Drama|Family,6.5,277.0,Dear Dad is a bittersweet coming of age story; involving a father-son duo 14 year old Shivam  and his 45 year old dad Nitin Swaminathan. The father-son duo embarks on an impromptu road trip from their home  in Delhi  to Mussorie (Uttarakhand)  where Shivam attends boarding school. Unexpected confessions  weird strangers  accidental meetings  a drunken escapade and singing in the rain all these add up to a complicated and sweet tale releasing on 13th May.,Dear Dad is a bittersweet coming of age story; involving a father-son duo 14 year old Shivam  and his 45 year old dad Nitin Swaminathan. The father-son duo embarks on an impromptu road trip...                    ,,Arvind Swamy|Ekavali Khanna|Himanshu Sharma|Bhavika Bhasin|,,6 May 2016 (India),Tanuj Bhramar,,Male,,
tt3679000,ABCD 2,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/ABCD_2_poster.jpeg/220px-ABCD_2_poster.jpeg,https://en.wikipedia.org/wiki/ABCD_2,Any Body Can Dance 2,Any Body Can Dance 2,0,2015,154,Biography|Drama|Music,5.5,4750.0,The story traces the journey of an Indian dance troupe  a motley assortment of boys and girls who come from the backstreet's of a Mumbai suburb; their rise to fame  sudden downfall and then their heroic attempt to seek vindication by regaining their lost glory and pride. Will they be able to achieve success at the biggest International platform? Will they make their beloved Vishnu Sir proud  who is himself struggling with his not so perfect past? ABCD 2 is a grand 3D Dance Film which travels to the vibrant city of Las Vegas and is a bittersweet journey of love  friendship  betrayal  honor and redemption.,Based on the true story of the Fictitious Dance group; their rise to fame  sudden downfall  and their heroic attempt to seek vindication by regaining their lost pride and glory.,,Prabhu Deva|Varun Dhawan|Shraddha Kapoor|Lauren Gottlieb|Dharmesh Yelande|Punit Pathak|Raghav Juyal|Tisca Chopra|Jineet Rath|Akanksha Nehra|Prachee Shah Paandya|,3 wins & 1 nomination,19 June 2015 (USA),Remo D'Souza,,Unknown,,167.0
tt2023645,Phhir,https://upload.wikimedia.org/wikipedia/en/7/70/Phhir_%282011%29.jpg,https://en.wikipedia.org/wiki/Phhir,Phhir,Phhir,0,2011,100,Drama|Mystery|Romance,5.3,166.0,Manchester-based Dr. Kabir Malhotra is late at arriving at a restaurant to meet his wife  Sia. When she is not there he naturally assumes that she is annoyed with him. When he fails to hear from her  he decides to report her missing to the police. While they launch their investigation  he is approached by a woman named Disha who claims that she can assist him in locating his wife. He scoffs at her when he is told that she is a psychic  and thinks she may be looking for publicity and money. But when her prophecies and predictions turn out to be accurate as well as the police themselves claim that she assists them  he decides to enlist her help. The question remains - will her powers provide any clues as to Sia's whereabouts?,With the help of the police and a psychic  a husband attempts to try and locate his missing wife.,,Rajniesh Duggall|Roshni Chopra|Monica|Adah Sharma|Parag Tyagi|,,12 August 2011 (USA),Girish Dhamija,,Male,,
tt4853926,Guddu Ki Gun,,https://en.wikipedia.org/wiki/Guddu_Ki_Gun,Guddu Ki Gun,Guddu Ki Gun,0,2015,130,Comedy,4.7,541.0,"Guddu Ki Gun is the tale of Govardhan aka Guddu (Kunal Kemmu)  a Bihari settled in Kolkata. He is a door-to-door washing powder salesman  whose sales pitch is ""Ek washing powder ke saath Guddu free"". While sharing a room with his close friend Ladoo (Sumeet Vyas)  Guddu leads an amorous lifestyle in Kolkata. His travails begins when he ditches one of his girlfriends  Bholi (Aparna Sharma). Furious for forsaking his granddaughter  Bholi's grandfather casts a black magic spell on him. The only way Guddu can get rid of the curse is to find true love and by staying faithful to her.","Guddu Ki Gun is the tale of Govardhan aka Guddu (Kunal Kemmu)  a Bihari settled in Kolkata. He is a door-to-door washing powder salesman  whose sales pitch is ""Ek washing powder ke saath ...                    ",,Kunal Khemu|Payel Sarkar|Aparna Sharma|,,30 October 2015 (India),Shiirshak S. Anand,Shantanu Ray Chhibber,Unknown,Male,
tt4287778,Shab (film),https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Shab_-_Poster.jpg/220px-Shab_-_Poster.jpg,https://en.wikipedia.org/wiki/Shab_(film),Night,Shab,0,2017,108,Drama|Romance,4.4,196.0,This film is about lives of people who live on the edge of what society finds acceptable. It is about coming to terms with oneself and accepting other people as they are. The film is set in the cosmopolitan city of Delhi where people from all over the country come to fulfill their dreams. For some  these dreams are realized  while others remain in an endless pursuit of other elusive dreams. Perhaps it is the hope of ultimately reaching that destination that keeps one going. And then there are others who surrender to the overwhelming power of the city of dreams and get lost in the maze. This film is the story of a coffee shop girl Raina and the man who loves her- Azfar  an aspiring model.,Shab is a story that revolves around multiple characters' search for happiness and love in a complex  unforgiving  and cold city.,,Ashish Bisht|Simon Frenay|Areesz Ganddi|Gaurav Nanda|Arpita Pal|Raj Suri|Sanjay Suri|Raveena Tandon|,,14 July 2017 (India),Onir,,Male,,32.0
tt3043252,Parched,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Parched_film_poster.jpg/220px-Parched_film_poster.jpg,https://en.wikipedia.org/wiki/Parched,Parched,Parched,0,2015,116,Drama,7.6,4287.0,'Parched' is a story about women set in the heart of parched rural landscape of Rajasthan  India. It traces the bittersweet tale of four ordinary women Rani  Lajjo  Bijli and Janaki. We see them unapologetically talk about men  sex and life as they struggle with their individual boundaries to face their demons and stage their own personal wars.,In the arid landscape of Rajashthan  four women navigate their way through personal and cultural difficulties.,All it took was the first act of courage.,Tannishtha Chatterjee|Radhika Apte|Lehar Khan|Surveen Chawla|Dinesh Pradhan|Farrukh Jaffar|Kanwar Jagdish|Riddhi Sen|Tarun Jasor|Praveen Choudhary|Prince Gehlot|Nancy Nisa Beso|Anuradha Adwani|Sumeet Vyas|,9 wins & 4 nominations,17 June 2016 (USA),Leena Yadav,,Female,,12.03
tt2387495,Jalpari: The Desert Mermaid,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Jalpari_film_poster.jpg/220px-Jalpari_film_poster.jpg,https://en.wikipedia.org/wiki/Jalpari:_The_Desert_Mermaid,Jalpari: The Desert Mermaid,Jalpari: The Desert Mermaid,0,2012,94,Drama|Family|Mystery,7.2,334.0,A well-heeled family from tony neighborhood of New Delhi travels from the city through dusty roads that lead into the village in Haryana  far out and buried in the debris of the past. Shreya  the tomboy of the family  finally arrives at her father's village for the first time during her vacations  that too after coaxing her father  Dev  to the best of her abilities. She and her brother  Sam  had  in their imagination  spun the village right out of a fairytale  replete with streams  lakes and grasslands that will allow them to run free. But all they find are dusty alleys  dried up ponds and hostile playmates until they spin their magic and befriend this unknown place  especially some of its people  like the Pehelwan and the gang of kids led by Ajithe. The story revolves around Shreya and Sam's adventures and misadventures which turn this dull place bereft of water into a land of enchantment  mischief and a million exciting exploits. But unknown places have many secrets  and here too  ...,Where would you be if your mother was not allowed to be born?,,Harish Chabbra|Tannishtha Chatterjee|Parvin Dabas|Rajendra Gupta|Lehar Khan|Harsh Mayar|Suhasini Mulay|Rahul Singh|,1 nomination,1 October 2012 (Germany),Nila Madhab Panda,,Female,,
tt6712014,Fukrey Returns,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Fukrey_Returns.jpg/220px-Fukrey_Returns.jpg,https://en.wikipedia.org/wiki/Fukrey_Returns,Fukrey Returns,Fukrey Returns,0,2017,141,Comedy,6.5,4105.0,After sending Bholi Punjaban in jail Fukrey Boys Hunny Choocha Zafar and Lali are doing well their success in life still depends on Choocha's dreams.A frustrated Bholi is in jail since a year and cant arrange for her bail as her criminal activities have stopped and there is no source of income.Bholi contacts minister Babulal Bhatia to bail her out in returns Babulal tells her that she should pay him 10 Crore within 10 days of her release or else on 11th day she will be back in jail.Bholi tracks Hunny Choocha Zafar and Lali and tells them as they were responsible for her arrest they should arrange the bail amount by opening a fraud finance company which will benefit them as well as the people.But Babulal plays a part and puts the company into losses.Fukrey Boys now are on the run to save their lives from Bholi as well as the people who have invested in the company.,Just out of jail  a don is ready to get back at the four friends who conned her.,,Pulkit Samrat|Manjot Singh|Ali Fazal|Varun Sharma|Priya Anand|Vishakha Singh|Pankaj Tripathi|Richa Chadha|,,8 December 2017 (USA),Mrighdeep Lamba,,Unknown,,112.3
tt2224313,Listen... Amaya,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Listen..._Amaya.Jpg/220px-Listen..._Amaya.Jpg,https://en.wikipedia.org/wiki/Listen..._Amaya,Listen... Amaya,Listen... Amaya,0,2013,108,Drama,6.8,553.0,(Hindi with English subtitles) In this poignant Bollywood-styled indie interpretation about family ties and growing up  fiery 22-year old writer Amaya struggles to balance working life with family life after finding out that her mom is dating her current collaborator at work.,(Hindi with English subtitles) In this poignant Bollywood-styled indie interpretation about family ties and growing up  fiery 22-year old writer Amaya struggles to balance working life with...                    ,You don't always have to be right| you have to be happy.,Farooq Shaikh|Deepti Naval|Swara Bhaskar|Amala Akkineni|Siddhant Karnick|Oroon Das|Kriti Panth|Vidya Bhushan|Viren Basoya|,1 win,1 February 2013 (India),Avinash Kumar Singh,,Male,,
